introdution,time,num,score,movie_name
"
                    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
            ",(1972),"1,314,130",9.2,The Godfather
"
                    Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.
            ",(2002),"597,275",8.6,City of God
"
                    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
            ",(1994),"1,922,281",9.2,The Shawshank Redemption
"
                    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
            ",(1999),"1,381,014",8.7,The Matrix
"
                    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
            ",(1995),"1,171,993",8.6,Se7en
"
                    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
            ",(1974),"907,544",9.0,The Godfather: Part II
"
                    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station while also attempting to rescue Princess Leia from the evil Darth Vader.
            ",(1977),"1,038,473",8.6,Star Wars: Episode IV - A New Hope
"
                    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
            ",(1954),"259,037",8.6,Seven Samurai
"
                    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.
            ",(1990),"828,341",8.7,Goodfellas
"
                    The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.
            ",(1994),"1,453,883",8.7,Forrest Gump
"
                    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
            ",(2001),"1,391,987",8.8,The Lord of the Rings: The Fellowship of the Ring
"
                    A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
            ",(1975),"766,304",8.7,One Flew Over the Cuckoo's Nest
"
                    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.
            ",(2002),"1,242,301",8.7,The Lord of the Rings: The Two Towers
"
                    A thief, who steals corporate secrets through the use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.
            ",(2010),"1,681,629",8.7,Inception
"
                    After the rebels are overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda. His friends accept shelter from a questionable ally as Darth Vader hunts them in a plan to capture Luke.
            ",(1980),"966,303",8.7,Star Wars: Episode V - The Empire Strikes Back
"
                    An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soapmaker, forming an underground fight club that evolves into something much, much more.
            ",(1999),"1,539,426",8.8,Fight Club
"
                    A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
            ",(1986),"114,440",8.0,Castle in the Sky
