num,score,quote,time,movie_name
978770人评价,9.6,希望让人自由。,1994,肖申克的救赎
710778人评价,9.5,风华绝代。,1993,霸王别姬
924201人评价,9.4,怪蜀黍和小萝莉不得不说的故事。,1994,这个杀手不太冷
785856人评价,9.4,一部美国近现代史。,1994,阿甘正传
459390人评价,9.5,最美的谎言。,1997,美丽人生
735023人评价,9.2,最好的宫崎骏，最好的久石让。 ,2001,千与千寻
725584人评价,9.2,失去的才是永恒的。 ,1997,泰坦尼克号
418898人评价,9.4,拯救一个人，就是拯救整个世界。,1993,辛德勒的名单
828478人评价,9.3,诺兰给了我们一场无法盗取的梦。,2010,盗梦空间
543216人评价,9.3,小瓦力，大人生。,2008,机器人总动员
641346人评价,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998,海上钢琴师
741489人评价,9.2,英俊版憨豆，高情商版谢耳朵。,2009,三傻大闹宝莱坞
508948人评价,9.2,永远都不能忘记你所爱的人。,2009,忠犬八公的故事
496346人评价,9.2,天籁一般的童声，是最接近上帝的存在。 ,2004,放牛班的春天
540896人评价,9.2,一生所爱。,1995,大话西游之大圣娶亲
373713人评价,9.2,千万不要记恨你的对手，这样会让你失去理智。,1972,教父
458038人评价,9.1,人人心中都有个龙猫，童年就永远不会消失。,1988,龙猫
510545人评价,9.1,如果再也不能见到你，祝你早安，午安，晚安。,1998,楚门的世界
291705人评价,9.2,Tomorrow is another day.,1939,乱世佳人
295954人评价,9.2,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011,熔炉
401119人评价,9.1,满满温情的高雅喜剧。,2011,触不可及
538050人评价,9.2,爱是一种力量，让我们超越时空感知它的存在。,2014,星际穿越
441699人评价,9.0,香港电影史上永不过时的杰作。,2002,无间道
587522人评价,8.9,平民励志片。 ,2006,当幸福来敲门
330548人评价,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988,天堂电影院
609180人评价,8.9,真正的幸福是来自内心深处。,2010,怦然心动
185528人评价,9.4,1957年的理想主义。 ,1957,十二怒汉
425952人评价,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,1999,搏击俱乐部
623399人评价,9.0,瑰丽壮观、无人能及的冒险之旅。,2012,少年派的奇幻漂流
306345人评价,9.1,史诗的终章。,2003,指环王3：王者无敌
251219人评价,9.2,对敌人的仁慈，就是对自己残忍。,2000,鬼子来了
353817人评价,9.0,无尽的黑暗。,2008,蝙蝠侠：黑暗骑士
295414人评价,9.1,张艺谋最好的电影。,1994,活着
359244人评价,9.0,对天空的追逐，永不停止。 ,1986,天空之城
414992人评价,8.9,爱情哪怕只有一天。,1953,罗马假日
435854人评价,8.9,旷古烁今。,1995,大话西游之月光宝盒
538583人评价,8.9,最后那些最无聊的事情，才是最值得怀念的。 ,2009,飞屋环游记
290222人评价,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,1998,两杆大烟枪
241510人评价,9.1,别样人生。,2006,窃听风暴
558508人评价,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016,疯狂动物城
294228人评价,9.0,自由万岁。,1975,飞越疯人院
104252人评价,9.6,比利·怀德满分作品。,1957,控方证人
347214人评价,8.9,史上最美的探戈。,1992,闻香识女人
191942人评价,9.3,海豚的微笑，是世界上最高明的伪装。,2009,海豚湾
380310人评价,8.9,带着心爱的人在天空飞翔。,2004,哈尔的移动城堡
450258人评价,8.8,一张面具背后的理想与革命。,2005,V字仇杀队
226987人评价,9.1,电影的现实意义大过电影本身。,2013,辩护人
201392人评价,9.1,优雅的孤独。,1974,教父2
299668人评价,8.9,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989,死亡诗社
325004人评价,8.9,爱是一切逻辑和原由。,2001,美丽心灵
288568人评价,9.0,承前启后的史诗篇章。,2002,指环王2：双塔奇兵
322726人评价,8.9,传说的开始。,2001,指环王1：魔戒再现
400701人评价,8.8,暗恋的极致。,1995,情书
215437人评价,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,1994,饮食男女
186631人评价,9.1,往事如烟，无处祭奠。,1984,美国往事
509168人评价,8.7,法式小清新。 ,2001,天使爱美丽
300827人评价,8.9,动物版《哈姆雷特》。,1994,狮子王
214827人评价,9.0,音乐能化解仇恨。,2002,钢琴家
458839人评价,8.7,警察抓小偷，老鼠玩死猫。,1995,七宗罪
309481人评价,8.9,以戏谑来戏谑戏谑。,2006,被嫌弃的松子的一生
148321人评价,9.2,奔跑的孩子是天使。,1997,小鞋子
365752人评价,8.8,孪生蝙蝠侠大战克隆金刚狼。,2006,致命魔术
197122人评价,9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,2013,素媛
308943人评价,8.8,史诗大片的典范。,1995,勇敢的心
245330人评价,8.9,用音乐化解仇恨，让歌声串起美好。,1965,音乐之声
511685人评价,8.7,浪漫忧郁的成人童话。,1990,剪刀手爱德华
415493人评价,8.7,在时间之河里感受溺水之苦。,2008,本杰明·巴顿奇事
354877人评价,8.8,故事的高级讲法。,1994,低俗小说
485924人评价,9.1,,2016,摔跤吧！爸爸
373266人评价,8.7,美丽无罪。,2000,西西里的美丽传说
298316人评价,8.8,视觉革命。,1999,黑客帝国
253803人评价,8.9,美利坚精神输出大片No1.,1998,拯救大兵瑞恩
373750人评价,8.7,安东尼·霍普金斯的顶级表演。,1991,沉默的羔羊
331926人评价,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008,入殓师
343911人评价,8.8,你以为你以为的就是你以为的。,2016,看不见的客人
403148人评价,8.7,人的命运被自己瞬间的抉择改变。,2004,蝴蝶效应
240800人评价,8.9,你是我最好的朋友，你是我唯一的朋友 。,2009,玛丽和马克思
657671人评价,8.7,你给我翻译翻译，神马叫做TMD的惊喜。,2010,让子弹飞
261865人评价,8.8,爱情纠缠，男女一致。,1997,春光乍泄
107333人评价,9.2,经典之作，历久弥新。,1961,大闹天宫
286798人评价,8.8,人生中应该拥有这样的一段豁然开朗。,1997,心灵捕手
